PLIDAR SCAN DATA
#COUNT=1054
#Angule	Distance	Quality
61.7157 1060.0 188
61.9354 1058.0 188
62.1716 1058.0 188
62.3859 1058.0 188
62.6056 1054.0 188
62.8253 1050.0 188
63.0615 1048.0 188
63.2812 1046.0 188
63.4955 1042.0 188
63.7152 1038.0 188
63.9514 1036.0 188
64.1711 1034.0 188
64.3854 1032.0 188
64.6051 1032.0 188
64.8413 1030.0 188
65.0610 1028.0 188
65.2808 1026.0 188
65.4950 1024.0 188
65.7312 1022.0 188
65.9509 1018.0 188
66.1707 1016.0 188
66.3904 1016.0 188
66.6211 1012.0 188
66.8408 1010.0 188
67.0605 1008.0 188
67.2803 1004.0 188
67.5110 1004.0 188
67.7307 1004.0 188
67.9504 1002.0 188
68.1866 1000.0 188
68.4009 998.0 188
68.6206 998.0 188
68.8403 998.0 188
69.0765 992.0 188
69.2963 990.0 188
69.5105 990.0 188
69.7302 988.0 188
69.9664 988.0 188
70.1862 986.0 188
70.4059 984.0 188
70.6201 986.0 188
70.8563 986.0 188
71.0760 982.0 188
71.2958 978.0 188
71.5155 978.0 188
71.7462 974.0 188
71.9659 972.0 188
72.1857 974.0 188
72.4219 970.0 188
72.6526 966.0 188
72.8888 964.0 188
73.1250 966.0 188
73.3722 964.0 188
73.6084 964.0 188
73.8391 964.0 188
74.0918 964.0 188
74.3280 960.0 188
74.5587 962.0 188
74.7949 962.0 188
75.0421 958.0 188
75.2783 958.0 188
75.5145 954.0 188
75.7617 952.0 188
75.9979 952.0 188
76.2341 950.0 188
76.4648 954.0 188
76.7175 952.0 188
76.9482 950.0 188
77.1844 950.0 188
77.4371 946.0 188
77.6678 944.0 188
77.9041 944.0 188
78.1512 944.0 188
78.3875 944.0 188
78.6237 942.0 188
78.8544 942.0 188
79.1071 940.0 188
79.3433 940.0 188
79.5740 942.0 188
79.8267 940.0 188
80.0574 940.0 188
80.2936 940.0 188
80.5298 938.0 188
80.7770 938.0 188
81.0132 936.0 188
81.2494 938.0 188
81.4966 938.0 188
81.7328 940.0 188
81.9635 940.0 188
82.1997 936.0 188
82.4524 934.0 188
82.6831 932.0 188
82.9193 930.0 188
83.1665 930.0 188
83.4027 932.0 188
83.6389 932.0 188
83.8861 934.0 188
127.0624 1164.0 188
127.2931 1156.0 188
127.5293 1160.0 188
127.7655 1166.0 188
127.9962 1172.0 188
128.2324 1176.0 188
128.4686 1178.0 188
128.6993 1182.0 188
128.9355 1184.0 188
129.1718 1188.0 188
129.4025 1194.0 188
129.6387 1198.0 188
129.8749 1200.0 188
130.1056 1206.0 188
130.3418 1210.0 188
130.5780 1214.0 188
130.8087 1220.0 188
131.0449 1224.0 188
131.2811 1228.0 188
131.5118 1232.0 188
131.7480 1234.0 188
131.9843 1240.0 188
132.2150 1246.0 188
132.4512 1250.0 188
132.6874 1256.0 188
132.9181 1260.0 188
133.1543 1264.0 188
133.3905 1268.0 188
133.6212 1274.0 188
133.8574 1278.0 188
134.0936 1284.0 188
134.3243 1288.0 188
134.5605 1292.0 188
134.7968 1300.0 188
135.0275 1304.0 188
135.2637 1310.0 188
135.4999 1312.0 188
135.7306 1314.0 188
135.9668 1322.0 188
136.2030 1328.0 188
136.4337 1332.0 188
136.6699 1336.0 188
136.9061 1344.0 188
137.1368 1350.0 188
137.3730 1356.0 188
137.6093 1364.0 188
137.8400 1370.0 188
138.0762 1376.0 188
138.3124 1382.0 188
138.5431 1388.0 188
138.7793 1394.0 188
139.0155 1400.0 188
139.2462 1404.0 188
139.4824 1410.0 188
139.7186 1420.0 188
139.9493 1426.0 188
140.1855 1432.0 188
140.4218 1440.0 188
140.6525 1446.0 188
140.8887 1450.0 188
141.1249 1456.0 188
141.3556 1466.0 188
141.5918 1474.0 188
141.8280 1480.0 188
142.0587 1486.0 188
142.2949 1492.0 188
142.5311 1498.0 188
142.7783 1506.0 188
143.0145 1516.0 188
143.2452 1524.0 188
143.4814 1532.0 188
143.7177 1538.0 188
143.9484 1546.0 188
144.1846 1558.0 188
144.4208 1566.0 188
144.6515 1572.0 188
144.8877 1584.0 188
145.1404 1594.0 188
145.3711 1606.0 188
145.6073 1614.0 188
145.8435 1622.0 188
146.0742 1630.0 188
146.3104 1638.0 188
146.5466 1648.0 188
146.7773 1662.0 188
147.0135 1672.0 188
147.2498 1680.0 188
147.4805 1684.0 188
147.7332 1692.0 188
147.9639 1704.0 188
148.2001 1718.0 188
148.4363 1730.0 188
148.6670 1742.0 188
148.9032 1754.0 188
149.1394 1764.0 188
149.3701 1776.0 188
149.6063 1784.0 188
149.8425 1794.0 188
150.0732 1806.0 188
150.3259 1822.0 188
150.5621 1836.0 188
150.7928 1854.0 188
151.0291 1864.0 188
151.2653 1872.0 188
151.4960 1882.0 188
151.7322 1894.0 188
151.9684 1914.0 188
152.1991 1930.0 188
152.4353 1940.0 188
152.6825 1956.0 188
152.9187 1974.0 188
153.1549 1982.0 188
153.3856 1994.0 188
153.6218 2010.0 188
153.8580 2026.0 188
154.0887 2044.0 188
154.3250 2060.0 188
154.5612 2076.0 188
154.7919 2096.0 188
155.0281 2112.0 188
155.2808 2128.0 188
155.5115 2152.0 188
155.7477 2176.0 188
155.9839 2196.0 188
156.2146 2208.0 188
156.4508 2224.0 188
156.6870 2248.0 188
156.9177 2276.0 188
157.1539 2300.0 188
157.3901 2316.0 188
157.6208 2332.0 188
157.8735 2348.0 188
158.1042 2364.0 188
158.3405 2396.0 188
158.5767 2428.0 188
158.8074 2452.0 188
159.0436 2476.0 188
159.2798 2496.0 188
159.5105 2516.0 188
159.7467 2540.0 188
159.9829 2564.0 188
160.2301 2592.0 188
160.7025 2628.0 188
161.6364 7504.0 188
161.8726 7464.0 188
162.1088 7432.0 188
162.3395 7368.0 188
162.5757 7288.0 188
162.8229 7304.0 188
163.0591 7272.0 188
163.2953 7224.0 188
163.5425 7248.0 188
163.7787 7240.0 188
164.0149 7144.0 188
164.2621 7072.0 188
164.4983 7032.0 188
164.9817 7344.0 188
165.7013 7216.0 188
166.4209 7232.0 188
166.9043 286.0 188
167.1405 286.0 188
167.3712 287.0 188
167.6239 286.0 188
167.8546 282.0 188
168.1073 276.0 188
168.3435 273.0 188
168.5742 272.0 188
168.8269 272.0 188
169.0576 272.0 188
169.2938 272.0 188
169.5465 272.0 188
169.7772 272.0 188
170.0134 273.0 188
170.2606 274.0 188
170.4968 275.0 188
170.7495 276.0 188
170.9802 274.0 188
171.4636 257.0 188
171.6998 255.0 188
171.9360 253.0 188
172.1832 251.0 188
172.4194 250.0 188
172.6556 249.0 188
172.9028 247.0 188
173.1390 246.0 188
173.3862 245.0 188
173.6224 244.0 188
173.8586 243.0 188
174.1058 242.0 188
174.3420 241.0 188
174.5728 240.0 188
174.8254 239.0 188
175.0616 238.0 188
175.2924 238.0 188
175.5450 237.0 188
175.7812 236.0 188
176.0284 235.0 188
176.2646 235.0 188
176.4954 234.0 188
176.7480 234.0 188
176.9843 234.0 188
177.2150 234.0 188
177.4677 233.0 188
177.6984 233.0 188
177.9346 233.0 188
178.1873 233.0 188
178.4180 233.0 188
178.6707 233.0 188
178.9014 233.0 188
179.1376 233.0 188
179.3903 233.0 188
179.6210 232.0 188
179.8572 232.0 188
180.1044 232.0 188
180.3406 232.0 188
180.5768 233.0 188
180.8240 233.0 188
181.0602 232.0 188
181.3074 232.0 188
181.5436 232.0 188
181.7798 232.0 188
